0 0 2 100 100 100 100 100 100 100 100 100 100 93 0 100 100 100 100 100 100 100 100 100 100 0
1 3 0 100 100 100 100 100 100 100 100 100 0 0 100 100 100 100 100 100 100 100 0 100 67 100
2 99 100 0 100 100 100 100 100 100 100 100 100 0 100 100 100 100 100 100 0 100 100 100 100 100
3 99 100 100 0 100 100 100 100 100 100 100 100 42 100 0 100 2 100 100 100 100 0 100 100 96
4 100 100 100 100 0 100 100 100 100 43 100 100 0 100 100 0 0 100 20 46 100 100 100 100 100
5 100 100 100 100 100 0 100 100 100 15 0 100 100 14 100 100 100 100 100 100 100 100 100 0 100
6 100 100 100 100 100 100 0 100 11 100 0 100 100 100 100 100 100 100 0 100 100 65 0 100 0
7 99 100 100 100 100 100 100 0 100 100 0 94 100 100 100 67 100 100 100 1 100 100 100 100 100
8 99 100 100 100 100 100 10 100 0 100 100 100 100 100 100 100 100 100 100 100 0 100 100 100 0
9 100 100 100 100 49 18 100 100 100 0 100 100 0 0 51 2 100 100 65 100 100 100 100 0 100
10 99 100 100 100 100 0 0 0 100 100 0 100 100 0 100 0 100 100 100 100 100 100 100 100 100
11 100 0 100 100 100 100 100 88 100 100 100 0 100 97 100 100 79 100 0 100 0 0 0 100 99
12 95 0 0 39 0 100 100 100 100 0 100 100 0 1 100 13 51 100 100 0 100 100 100 100 0
13 0 100 100 100 100 14 100 100 100 0 0 94 1 0 100 100 100 70 100 100 44 100 0 100 4
14 100 100 100 0 100 100 100 100 100 53 100 100 100 100 0 100 100 100 100 100 100 72 0 0 0
15 100 100 100 100 0 100 100 72 100 1 0 100 8 100 100 0 100 100 100 100 0 100 100 100 98
16 100 100 100 3 0 100 100 100 100 100 100 83 47 100 100 100 0 100 100 100 43 0 100 88 100
17 100 100 100 100 100 100 100 100 100 100 100 100 100 76 100 100 100 0 100 100 17 100 100 100 100
18 100 100 100 100 20 100 0 100 100 59 100 0 100 100 100 100 100 100 0 100 100 100 100 100 94
19 99 100 0 100 49 100 100 0 100 100 100 100 0 100 100 100 100 100 100 0 100 100 100 100 100
20 100 100 100 100 100 100 100 100 0 100 100 0 100 39 100 1 61 17 100 100 0 78 100 100 100
21 100 0 100 0 100 100 64 100 100 100 100 0 100 100 68 100 0 100 100 100 71 0 100 100 100
22 100 100 100 97 100 100 0 100 100 100 100 0 100 0 0 100 100 100 100 100 100 100 0 100 100
23 100 75 100 100 100 0 100 100 100 0 100 100 100 100 0 100 94 99 100 100 100 100 100 0 100
24 0 100 100 98 100 100 0 100 0 100 100 99 0 5 0 100 100 100 92 100 100 100 100 100 0
